country,date,GDP_Current_USD
"Egypt, Arab Rep.",2004,78782467532.4675
"Egypt, Arab Rep.",2003,80288461538.4615
"Egypt, Arab Rep.",2002,85146067415.7303
"Egypt, Arab Rep.",2001,96684636118.5984
"Egypt, Arab Rep.",2000,99838543960.0763
"Egypt, Arab Rep.",1999,90710704806.8416
"Egypt, Arab Rep.",1998,84828807556.0803
"Egypt, Arab Rep.",1997,78436578171.0914
"Egypt, Arab Rep.",1996,67629716981.1321
"Egypt, Arab Rep.",1995,60159245060.4541
"Egypt, Arab Rep.",1994,51897983392.6453
"Egypt, Arab Rep.",1993,46578631452.581
"Egypt, Arab Rep.",1992,41855986519.4235
"Egypt, Arab Rep.",1991,37387836490.5284
"Egypt, Arab Rep.",1990,42978914311.3504
"Egypt, Arab Rep.",1989,39756299049.9793
"Egypt, Arab Rep.",1988,34980124929.0176
"Egypt, Arab Rep.",1987,40455616653.5742
"Egypt, Arab Rep.",1986,41253507951.3564
"Egypt, Arab Rep.",1985,39053502251.0732
"Egypt, Arab Rep.",1984,33971188991.6147
"Egypt, Arab Rep.",1983,30966239813.7369
"Egypt, Arab Rep.",1982,27655172413.7931
"Egypt, Arab Rep.",1981,22136081081.0811
"Egypt, Arab Rep.",1980,21669908176.3889
"Egypt, Arab Rep.",1979,18020571428.5714
"Egypt, Arab Rep.",1978,14811704063.0685
"Egypt, Arab Rep.",1977,14400806875.9867
"Egypt, Arab Rep.",1976,13315988083.4161
"Egypt, Arab Rep.",1975,11632178868.9171
"Egypt, Arab Rep.",1974,9228963224.60004
"Egypt, Arab Rep.",1973,10098534613.4411
"Egypt, Arab Rep.",1972,9299638055.84281
"Egypt, Arab Rep.",1971,8609283346.08518
"Egypt, Arab Rep.",1970,8042200452.1477
"Egypt, Arab Rep.",1969,6524455205.81114
"Egypt, Arab Rep.",1968,5932242990.65421
"Egypt, Arab Rep.",1967,5605484298.98275
"Egypt, Arab Rep.",1966,5278005611.91453
"Egypt, Arab Rep.",1965,4948667540.41066
"Egypt, Arab Rep.",1964,
"Egypt, Arab Rep.",1963,
"Egypt, Arab Rep.",1962,
"Egypt, Arab Rep.",1961,
"Egypt, Arab Rep.",1960,
Ethiopia,2023,163697927593.982
Ethiopia,2022,126772703047.701
Ethiopia,2021,111261882958.426
Ethiopia,2020,107657734392.446
Ethiopia,2019,95912607722.3032
Ethiopia,2018,84269196625.8784
Ethiopia,2017,81770886825.6048
Ethiopia,2016,74296745207.8721
Ethiopia,2015,64589328550.5953
Ethiopia,2014,55612228233.5179
Ethiopia,2013,47648276605.0123
Ethiopia,2012,43310721414.0829
Ethiopia,2011,31952763089.33
Ethiopia,2010,29933790334.3418
Ethiopia,2009,32437389116.038
Ethiopia,2008,27066912635.2228
Ethiopia,2007,19707616772.7996
Ethiopia,2006,15280861834.6024
Ethiopia,2005,12401139453.9738
Ethiopia,2004,10131187261.4421
Ethiopia,2003,8623691300.04079
Ethiopia,2002,7850809498.16803
Ethiopia,2001,8231326016.47494
Ethiopia,2000,8242349617.8638
Ethiopia,1999,7892973531.80045
Ethiopia,1998,8013274131.69715
Ethiopia,1997,8803539988.33248
Ethiopia,1996,8761215548.48614
Ethiopia,1995,7855205206.93405
Ethiopia,1994,7100806753.92942
Ethiopia,1993,9051043870.12197
Ethiopia,1992,10754799036.5745
Ethiopia,1991,13799799323.6715
Ethiopia,1990,12478943894.9315
Ethiopia,1989,11762932007.237
Ethiopia,1988,11181119717.6458
Ethiopia,1987,10790001557.8672
Ethiopia,1986,10094328897.8588
Ethiopia,1985,9717392686.7328
Ethiopia,1984,8298309580.50903
Ethiopia,1983,8781664426.87024
Ethiopia,1982,7899988840.67729
Ethiopia,1981,7507663566.42971
Ethiopia,1980,7012585454.12203
Ethiopia,1979,6586048398.12812
Ethiopia,1978,6014961434.80261
Ethiopia,1977,5651840584.64903
Ethiopia,1976,4943806093.46396
Ethiopia,1975,4577047854.2871
Ethiopia,1974,4577209966.3327
Ethiopia,1973,4070570549.89297
Ethiopia,1972,3520252938.32165
Ethiopia,1971,3224280834.87075
Ethiopia,1970,3045354454.77066
Ethiopia,1969,2768987371.88775
Ethiopia,1968,2619948864.86506
Ethiopia,1967,2461762002.75775
Ethiopia,1966,2324466416.1146
Ethiopia,1965,2159998591.19132
Ethiopia,1964,1984129185.46553
Ethiopia,1963,1825058827.96558
Ethiopia,1962,1747566307.13633
Ethiopia,1961,1680859514.11965
Ethiopia,1960,1610511693.78543
Ghana,2023,76370394412.4163
Ghana,2022,74263364041.8742
Ghana,2021,79524421861.2743
Ghana,2020,70043095503.6675
Ghana,2019,68337969247.7067
Ghana,2018,67298914624.3723
Ghana,2017,60405924078.7278
Ghana,2016,56164929304.8754
Ghana,2015,49406010054.2663
Ghana,2014,54783319817.3705
Ghana,2013,62824629066.0408
Ghana,2012,41271701060.954
Ghana,2011,39336668080.559
Ghana,2010,32197655566.5347
Ghana,2009,26048720005.5233
Ghana,2008,28679383241.0729
Ghana,2007,24827339138.4906
Ghana,2006,20885037596.6963
Ghana,2005,10744568381.4456
Ghana,2004,8881417906.71432
Ghana,2003,7632723555.66221
Ghana,2002,6166197847.85031
Ghana,2001,5314872854.4405
Ghana,2000,4982850662.20851
Ghana,1999,7718109982.26093
Ghana,1998,7482069162.42008
Ghana,1997,6891443192.24985
Ghana,1996,6932991739.37767
Ghana,1995,6464382807.67884
Ghana,1994,5446383726.77047
Ghana,1993,5968922939.37198
Ghana,1992,6416103925.83267
Ghana,1991,6603185267.79643
Ghana,1990,5889106573.46088
Ghana,1989,5251858439.874
Ghana,1988,5197765031.64557
Ghana,1987,5074829931.97279
Ghana,1986,5735677433.82683
Ghana,1985,4504306722.68908
Ghana,1984,4412279843.44423
Ghana,1983,4057275132.27513
Ghana,1982,4035994397.7591
Ghana,1981,4222441860.46512
Ghana,1980,4445228215.76763
Ghana,1979,4020227920.22792
Ghana,1978,3662478184.99127
Ghana,1977,3189428571.42857
Ghana,1976,2765254237.28814
Ghana,1975,2810106382.97872
Ghana,1974,2894409937.8882
Ghana,1973,3018103448.27586
Ghana,1972,2116541353.38346
Ghana,1971,2427184466.01942
Ghana,1970,2214705882.35294
Ghana,1969,1961764705.88235
Ghana,1968,1666666666.66667
Ghana,1967,1748837209.30233
Ghana,1966,2138028169.01408
Ghana,1965,2064788732.39437
Ghana,1964,1740845070.42254
Ghana,1963,1549295774.64789
Ghana,1962,1390140845.07042
Ghana,1961,1309859154.92958
Ghana,1960,1223943661.97183
Kenya,2023,107440575838.048
Kenya,2022,113419826113.903
Kenya,2021,109703658904.994
Kenya,2020,100657505750.545
Kenya,2019,100378436207.371
Kenya,2018,92202979985.2863
Kenya,2017,82036510877.2599
Kenya,2016,74815144163.8931
Kenya,2015,70120446896.8359
Kenya,2014,68285796514.2896
Kenya,2013,61671440407.8387
Kenya,2012,56396704671.5777
Kenya,2011,46869473150.61
Kenya,2010,45405615063.7551
Kenya,2009,42347217912.9176
Kenya,2008,35895153327.8497
Kenya,2007,31958195182.2406
Kenya,2006,25825512284.2891
Kenya,2005,18737895512.7378
Kenya,2004,16095337093.8366
Kenya,2003,14904517649.8476
Kenya,2002,13147736898.5176
Kenya,2001,12986007425.8781
Kenya,2000,12705350097.8044
Kenya,1999,12896010459.3711
Kenya,1998,14093998843.7334
Kenya,1997,13115764358.2846
Kenya,1996,12045865396.1323
Kenya,1995,9046320255.40507
Kenya,1994,7148148564.04239
Kenya,1993,5751786642.55871
Kenya,1992,8209120763.04955
Kenya,1991,8151488783.19064
Kenya,1990,8572359038.16958
Kenya,1989,8283114514.17081
Kenya,1988,8355380879.12955
Kenya,1987,7970820369.2949
Kenya,1986,7239126568.14092
Kenya,1985,6135034213.78998
Kenya,1984,6191437070.18411
Kenya,1983,5979198313.76093
Kenya,1982,6431579356.95926
Kenya,1981,6854491705.88377
Kenya,1980,7265315820.20777
Kenya,1979,6234391113.46434
Kenya,1978,5303735110.55151
Kenya,1977,4494378764.32011
Kenya,1976,3474542391.69992
Kenya,1975,3259345083.26283
Kenya,1974,2969958812.01648
Kenya,1973,2509001324.34591
Kenya,1972,2107279157.08834
Kenya,1971,1778391288.64348
Kenya,1970,1603447358.62106
Kenya,1969,1458379416.64823
Kenya,1968,1353295458.68182
Kenya,1967,1232559506.9762
Kenya,1966,1164519674.19213
Kenya,1965,997919320.832272
Kenya,1964,998759334.496266
Kenya,1963,926589349.36426
Kenya,1962,868111400.75544
Kenya,1961,792959472.816211
Kenya,1960,791265459.493816
Nigeria,2023,362814951696.073
Nigeria,2022,472624596925.938
Nigeria,2021,440838992188.478
Nigeria,2020,432198898467.795
Nigeria,2019,474517490844.461
Nigeria,2018,421739251509.08
Nigeria,2017,375745731053.427
Nigeria,2016,404649125252.16
Nigeria,2015,493026682800.63
Nigeria,2014,574183763411.508
Nigeria,2013,520117180313.906
Nigeria,2012,463971018239.281
Nigeria,2011,414466676831.16
Nigeria,2010,366990417129.04
Nigeria,2009,295008835380.997
Nigeria,2008,339476276257.793
Nigeria,2007,278260846800.103
Nigeria,2006,238454997161.48
Nigeria,2005,175670569969.346
Nigeria,2004,135764731645.611
Nigeria,2003,104738954264.226
Nigeria,2002,95054059302.6995
Nigeria,2001,73557840064.489
Nigeria,2000,69171451627.2465
Nigeria,1999,59145077039.1437
Nigeria,1998,218416200672.727
Nigeria,1997,200850397618.182
Nigeria,1996,185730236700.0
Nigeria,1995,140919776986.364
Nigeria,1994,80399613063.6364
Nigeria,1993,56721051402.4732
Nigeria,1992,52058181853.8055
Nigeria,1991,59526833412.3581
Nigeria,1990,54035795387.8086
Nigeria,1989,44003061108.4005
Nigeria,1988,49648470440.4593
Nigeria,1987,52676041931.1087
Nigeria,1986,54805852580.9129
Nigeria,1985,73745821158.2254
Nigeria,1984,73484359521.4887
Nigeria,1983,97094911792.0489
Nigeria,1982,142769363314.176
Nigeria,1981,164475209515.939
Nigeria,1980,64201788122.6054
Nigeria,1979,47259911894.2731
Nigeria,1978,36527862208.7133
Nigeria,1977,36035407725.3219
Nigeria,1976,36308883248.731
Nigeria,1975,27778934624.6973
Nigeria,1974,24846641318.1242
Nigeria,1973,15162871287.1287
Nigeria,1972,12274416017.7976
Nigeria,1971,9181769911.50443
Nigeria,1970,12546094981.562
Nigeria,1969,6634317346.27306
Nigeria,1968,5200997919.60083
Nigeria,1967,5203237918.70483
Nigeria,1966,6366917453.23302
Nigeria,1965,5874537650.18494
Nigeria,1964,5552931318.82747
Nigeria,1963,5165590253.7639
Nigeria,1962,4909399176.24033
Nigeria,1961,4467287893.08484
Nigeria,1960,4196174501.5302
South Africa,2023,377781600985.873
South Africa,2022,405270850098.738
South Africa,2021,420117812466.041
South Africa,2020,338291396026.698
South Africa,2019,389330032224.269
South Africa,2018,405260723892.517
South Africa,2017,381448814653.456
South Africa,2016,323585509674.481
South Africa,2015,346709790458.563
South Africa,2014,381198869776.106
South Africa,2013,400886013595.573
South Africa,2012,434400545085.811
South Africa,2011,458199494830.834
South Africa,2010,417363822801.713
South Africa,2009,329754060647.129
South Africa,2008,316131258616.309
South Africa,2007,333077117253.684
South Africa,2006,303858675363.643
South Africa,2005,288867217196.534
South Africa,2004,255806908594.573
South Africa,2003,197018965308.697
South Africa,2002,129087556612.449
South Africa,2001,135429905922.526
South Africa,2000,151752757215.309
South Africa,1999,151516957078.536
South Africa,1998,152982984557.233
South Africa,1997,168978057327.73
South Africa,1996,163234925380.563
South Africa,1995,171735933897.331
South Africa,1994,153512712381.836
South Africa,1993,147194747565.75
South Africa,1992,146956150986.636
South Africa,1991,135203698237.977
South Africa,1990,126048140141.869
South Africa,1989,108055624081.806
South Africa,1988,103976831870.957
South Africa,1987,96535763418.3729
South Africa,1986,73354771399.2627
South Africa,1985,64459376086.6883
South Africa,1984,84870163365.9306
South Africa,1983,96204110941.5672
South Africa,1982,85904057409.3585
South Africa,1981,93141472163.7596
South Africa,1980,89411864402.4272
South Africa,1979,63038658088.9121
South Africa,1978,51607412901.8532
South Africa,1977,45328411332.1028
South Africa,1976,41150460287.6151
South Africa,1975,42906905672.42
South Africa,1974,41389186094.5992
South Africa,1973,33262772008.1446
South Africa,1972,24515919216.8851
South Africa,1971,23411076638.279
South Africa,1970,21218391512.6434
South Africa,1969,19256992297.2031
South Africa,1968,17124793150.0827
South Africa,1967,15821393671.4425
South Africa,1966,14211394315.4423
South Africa,1965,13068994772.4021
South Africa,1964,11955995217.6019
South Africa,1963,10854195658.3217
South Africa,1962,9813996074.40157
South Africa,1961,9225996309.60148
South Africa,1960,8748596500.5614
